date,dp,term,def,ypl,tb30,CRSP_SPvwx,realgnpg,mktrf,Rfree,AAA,BAA,vwretx,ewretx,corpr
2010-09-30,1.9587276550998949,4.38,2.227019527201488,0.0684062278953678,0.0015,0.088751,0.0334420925377922,0.0822462114675035,0.0001,0.0453,0.0566,-0.0420351695285469,-0.0920511401367187,-0.0144
2010-10-31,1.8996923753021315,4.55,2.006706954621511,0.0623900928225822,0.0013,0.037081,0.0334420925377922,0.0355138264795993,0.0001,0.0468,0.0572,0.0999341801051505,0.0826734851752021,-0.0203
2010-11-30,1.91467536317818,4.73,1.9524251180141583,0.0570776281769564,0.0014,-0.002571,0.0277596090931246,-0.0022458786612036,0.0001,0.0487,0.0592,0.0433242017218278,0.0185059539862204,-0.0057
2010-12-31,1.8072739416685215,4.88,1.9485883747562749,0.0536791733129897,0.0014,0.065249,0.0277596090931246,0.0621021298811861,0.0001,0.0502,0.061,0.0108813696387708,-0.004178472345679,-0.0036
2011-01-31,1.7854477031692222,4.89,1.892419996385284,0.0604928450663366,0.0015,0.022319,0.0277596090931246,0.0220785794618629,0.0001,0.0504,0.0609,0.0730931864049177,0.0563217866004962,-0.0198
2011-02-28,1.747788610780428,5.09,1.6395467992387935,0.0471268994327909,0.0013,0.030251,0.0203779719961334,0.0309865465438754,0.0001,0.0522,0.0615,0.0238602096368445,-0.0044398807270916,0.0157
2011-03-31,1.7672703136902923,5.029999999999999,1.616413515564159,0.0390604398796832,0.001,-0.000867,0.0203779719961334,-0.0009563934824132,0.0001,0.0513,0.0603,0.039148273622955,0.0181276595214356,-0.0072
2011-04-30,1.7405489839470232,5.1,1.5415067982725805,0.0426006108147265,0.0006,0.028358,0.0203779719961334,0.0278343089647297,0.0,0.0516,0.0602,0.0082640224301262,-0.0107669882323485,0.0239
2011-05-31,1.786923877490336,4.92,1.5299794194744987,0.0353021420730472,0.0004,-0.013572,0.0174370886455019,-0.0131371825040806,0.0,0.0496,0.0578,0.032428119109126,-0.0087968640141022,0.0257
2011-06-30,1.84312151684032,4.95,1.417639450458319,0.0226330941527992,0.0004,-0.018106,0.0174370886455019,-0.0178742750614731,0.0,0.0499,0.0575,-0.0093171998037265,-0.0444437495581923,-0.021
2011-07-31,1.9052372550840373,4.89,1.555984866532012,0.0233624266455712,0.0004,-0.020982,0.0174370886455019,-0.021098637467122,0.0,0.0493,0.0576,-0.0151118502143557,-0.0501360528723945,0.0473
2011-08-31,2.0429242999778485,4.3500000000000005,2.0420096597521153,0.0242910196179602,0.0002,-0.056735,0.0094265346456723,-0.0572172703217246,0.0001,0.0437,0.0536,-0.0182259944654928,-0.051826699669127,0.024
2011-09-30,2.2256102950274874,4.079999999999999,2.5348539249856072,0.0270763873813451,0.0001,-0.071739,0.0094265346456723,-0.0726784424267039,0.0,0.0409,0.0527,-0.0530834179969111,-0.1134993473603672,0.0575
2011-10-31,2.0422644219261152,3.96,2.9954608922442683,0.023387725563343,0.0002,0.107554,0.0094265346456723,0.1005114398422843,0.0,0.0398,0.0537,-0.0675641090196257,-0.1294444223983636,0.0094
2011-11-30,2.0858969012638737,3.86,2.837985724253831,0.0333539588590952,0.0001,-0.005552,0.0154307587160651,-0.0046439825987816,0.0,0.0387,0.0514,0.1213181134308157,0.0969550926591375,-0.0356
